中文名,英文名,基础分,最高分,所属地域
明扎尔,Minzaal,81,83,欧洲
尤达小姐,Miss Yoda,81,83,欧洲
海军皇冠,Naval Crown,81,83,欧洲
奥克斯特德,Oxted,81,83,欧洲
地区,Regional,81,83,欧洲
接管目标,Takeover Target,81,83,欧洲
拖网渔夫,Trawlerman,81,83,欧洲
黄金梦,Gold Dream,81,82,日本
颂赞火星,Admire Mars,80,82,日本
爱丽数码,Agnes Digital,80,82,日本
西沙里奥,Cesario,80,82,日本
谋勇兼备,Daring Tact,80,82,日本
梦之旅,Dream Journey,80,82,日本
杜兰达尔,Durandal,80,82,日本
金辉斩,Kane Hekili,80,82,日本
自由岛,Liberty Island,80,82,日本
摩耶重炮,Mayano Top Gun,80,82,日本
欧米茄芳香,Omega Perfume,80,82,日本
竹芝王,Takeshiba O,80,82,日本
塔斯蒂埃拉,Tastiera,80,82,日本
十点,Ten Point,80,82,日本
赤兔马,Vermilion,80,82,日本
皇家冠军,Royal Champion,80,82,欧洲
夏威夷鸟,Apapane,79,81,日本
琵琶晨光,Biwa Hayahide,79,81,日本
金积骥,Jack d'Or,79,81,日本
目白麦昆,Mejiro McQueen,79,81,日本
千明代表,Mr. C.B.,79,81,日本
小栗帽,Oguri Cap,79,81,日本
农神节庆,Saturnalia,79,81,日本
速度象征,Speed Symboli,79,81,日本
黄金旅程,Stay Gold,79,81,日本
真诚少女,Straight Girl,79,81,日本
鲁铎象征,Symboli Rudolf,79,81,日本
东商小子,Tosho Boy,79,81,日本
华格纳,Wagnerian,79,81,日本
真实自我,True Self,79,81,欧洲
清爽口味,Lemon Pop,79,80,日本
尽得真传,Dura Erede,78,80,日本
富士奇石,Fuji Kiseki,78,80,日本
海塞科,Haiseiko,78,80,日本
菱亚马逊,Hishi Amazon,78,80,日本
北港火山,Hokko Tarumae,78,80,日本
金莎奇迹,Kinshasa no Kiseki,78,80,日本
幸运紫丁香,Lucky Lilac,78,80,日本
蕾加莱拉,Regaleira,78,80,日本
圣烈特,Saint Lite,78,80,日本
苏妲己,Sodashi,78,80,日本
创升,Transcend,78,80,日本
爱慕槽,Admire Groove,77,79,日本
小林历奇,Copano Rickey,77,79,日本
真机伶,Curren Chan,77,79,日本
野田小子,Danon the Kid,77,79,日本
花公园,Flower Park,77,79,日本
蕾帕帕蕾,Lei Papale,77,79,日本
名将森逊,Meisho Mambo,77,79,日本
醒目飞鹰,Smart Falcon,77,79,日本
帝王光环,King Halo,76,78,日本
秘书处,Secretariat,97,99,美国
例证,Citation,95,97,美国
战争之人,Man o' War,95,97,美国
精彩竞投,Spectacular Bid,95,97,美国
航线,Flightline,94,97,美国
北地舞人,Northern Dancer,94,96,美国
西雅图回旋,Seattle Slew,94,96,美国
誓言,Affirmed,93,95,美国
机灵骏马,Curlin,93,95,美国
天才舞者,Native Dancer,93,95,美国
平易君子,Easy Goer,92,94,美国
凯尔索,Kelso,92,94,美国
个人荣誉,Personal Ensign,92,94,美国
周日宁静,Sunday Silence,92,94,美国
卸肩者,Buckpasser,91,94,美国
霸道驹,Arrogate,91,93,美国
美国法老,American Pharoah,91,92,美国
再度惊喜,Awesome Again,90,92,美国
加州铬,California Chrome,90,92,美国
雪茄,Cigar,89,92,美国
领先,Forego,90,92,美国
圣利亚姆,Saint Liam,90,92,美国
战争上将,War Admiral,90,92,美国
问责,Blame,89,91,美国
飞鱼安娜,Thorpedo Anna,89,91,美国
巴巴罗,Barbaro,88,90,美国
大布朗,Big Brown,88,90,美国
糖果快车,Candy Ride,88,90,美国
正义,Justify,88,90,美国
鲁尼公主,Princess Rooney,88,90,美国
暴徒,Ruffian,88,90,美国
聪明琼斯,Smarty Jones,88,90,美国
鸣禽,Songbird,88,90,美国
阿利达,Alydar,87,93,美国
舰队阿历克斯,Afleet Alex,87,89,美国
阿莎多,Ashado,87,89,美国
铤而走险,Gun Runner,87,89,美国
天赐之奖,Heavenly Prize,87,89,美国
成语俗话,Idiomatic,87,89,美国
玛拉萨特,Malathaat,87,89,美国
圆桌骑士,Round Table,87,89,美国
聪明丹,Wise Dan,87,89,美国
禅雅塔,Zenyatta,87,89,美国
挚友,Best Pal,86,88,美国
灌木丛,High Chaparral,86,88,美国
杰克战士,Jackie's Warrior,86,88,美国
草甸之星,Meadow Star,86,88,美国
子夜爱意,Midnight Bisou,86,88,美国
巢穴,Nest,86,88,美国
奈奎斯特,Nyquist,86,88,美国
胜利跃步,Victory Gallop,86,88,美国
提兹现在,Tiznow,85,88,美国
看运气,Lookin At Lucky,85,87,美国
海饼干,Seabiscuit,85,87,美国
瑞士跳伞者,Swiss Skydiver,85,87,美国
经典帝国,Classic Empire,84,86,美国
祖鲁回声,Echo Zulu,84,86,美国
法兰德斯,Flanders,84,86,美国
宝剑,Forte,84,86,美国
游戏赢家,Game Winner,84,86,美国
历山小姐,Rachel Alexandra,84,86,美国
旁观者,Beholder,83,85,美国
一砖一瓦,Bricks and Mortar,83,85,美国
麦克斯菲尔德,Maxfield,83,85,美国
探查男儿,Senor Buscador,83,85,美国
阿塞拜疆,Azeri,82,84,美国
力胜高,Knicks Go,82,84,美国
提平,Tepin,81,83,美国
科迪之愿,Cody's Wish,80,82,美国
埃利女士,Lady Eli,80,82,美国
桀骜之恋,Rebel's Romance,80,82,美国
查理姐姐,Sistercharlie,80,82,美国
莫诺莫伊女孩,Monomoy Girl,79,81,美国
白手起家,Rags to Riches,79,81,美国
皇家三角洲,Royal Delta,79,81,美国
精英力量,Elite Power,78,80,美国
核心素质,Essential Quality,78,80,美国
胜利色彩,Winning Colors,78,80,美国
黄金伙伴,Golden Pal,78,80,美国
嘉应高升,Ka Ying Rising,90,92,其他
浪漫勇士,Romantic Warrior,88,91,其他
金枪六十,Golden Sixty,86,88,其他
美丽传承,Beauty Generation,85,87,其他
伊人何处,Ipi Tombe,85,87,其他
步步友,Able Friend,84,87,其他
精英大师,Silent Witness,83,85,其他
高卢英豪,Vercingetorix,83,85,其他
雄心威龙,Ambitious Dragon,82,84,其他
好爸爸,Good Ba Ba,82,84,其他
莲华生辉,Sacred Kingdom,82,84,其他
爪皇凌雨,Vengeance of Rain,80,82,其他
