race_id,当前显示名,中文名,英文名,等级,赛事类别,地区,场地,赛场,距离,月份,半月,赛季,年龄条件,性别限定,中文来源,英文来源,核对备注
manikato-stakes,马尼卡托锦标,马尼卡托锦标,Manikato Stakes,G1,g1,澳洲,草地,其他地方,1200,9,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
caulfield-cup,考菲尔德杯,考菲尔德杯,Caulfield Cup,G1,g1,澳洲,草地,其他地方,2400,10,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
cox-plate,觉士盾,觉士盾,Cox Plate,G1,g1,澳洲,草地,其他地方,2040,10,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
the-everest,珠穆朗玛峰锦标,珠穆朗玛峰锦标,the Everest,G1,g1,澳洲,草地,其他地方,1200,10,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
melbourne-cup,墨尔本杯,墨尔本杯,Melbourne Cup,G1,g1,澳洲,草地,其他地方,3200,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
victoria-derby,维多利亚德比,维多利亚德比,Victoria Derby,G1,g1,澳洲,草地,其他地方,2500,11,1,三岁秋,3岁,,现有中文,由ID自动生成待核对,
pegasus-world-cup,飞马世界杯,飞马世界杯,Pegasus World Cup,G1,g1,美国,泥地,其他地方,1800,1,2,四岁冬,4岁以上,,现有中文,由ID自动生成待核对,
pegasus-world-cup-turf,飞马世界杯草地赛,飞马世界杯草地赛,Pegasus World Cup Turf,G1,g1,美国,草地,其他地方,1800,1,2,四岁冬,4岁以上,,现有中文,由ID自动生成待核对,
santa-anita-handicap,圣雅尼塔让赛,圣雅尼塔让赛,Santa Anita Handicap,G1,g1,美国,泥地,其他地方,2000,3,1,四岁春,4岁以上,,现有中文,由ID自动生成待核对,
apple-blossom-handicap,苹果花让赛,苹果花让赛,Apple Blossom Handicap,G1,g1,美国,泥地,其他地方,1700,4,1,四岁春,4岁以上,牝马,现有中文,由ID自动生成待核对,
blue-grass-stakes,蓝草锦标,蓝草锦标,Blue Grass Stakes,G1,g1,美国,泥地,其他地方,1800,4,1,三岁春,3岁,,现有中文,由ID自动生成待核对,
american-turf-stakes,美国草地锦标,美国草地锦标,American Turf Stakes,G1,g1,美国,草地,其他地方,1700,5,1,三岁春,3岁,,现有中文,由ID自动生成待核对,
kentucky-derby,肯塔基德比,肯塔基德比,Kentucky Derby,G1,g1,美国,泥地,其他地方,2000,5,1,三岁春,3岁,,现有中文,自译/规范名待核对,
kentucky-oaks,肯塔基橡树,肯塔基橡树,Kentucky Oaks,G1,g1,美国,泥地,其他地方,1800,5,1,三岁春,3岁,牝马,现有中文,自译/规范名待核对,
turf-classic-stakes,草地经典赛,草地经典赛,Turf Classic Stakes,G1,g1,美国,草地,其他地方,1800,5,1,四岁春,4岁以上,,现有中文,由ID自动生成待核对,
preakness-stakes,必利是锦标,必利是锦标,Preakness Stakes,G1,g1,美国,泥地,其他地方,1900,5,2,三岁春,3岁,,现有中文,自译/规范名待核对,
acorn-stakes,橡果锦标,橡果锦标,Acorn Stakes,G1,g1,美国,泥地,其他地方,1800,6,1,三岁夏,3岁,牝马,现有中文,由ID自动生成待核对,
belmont-stakes,贝蒙锦标,贝蒙锦标,Belmont Stakes,G1,g1,美国,泥地,其他地方,2400,6,1,三岁夏,3岁,,现有中文,自译/规范名待核对,
jaipur-stakes,斋浦尔锦标,斋浦尔锦标,Jaipur Stakes,G1,g1,美国,草地,其他地方,1200,6,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
just-a-game-stakes,Just a Game锦标,游戏一场锦标,Just a Game Stakes,G1,g1,美国,草地,其他地方,1600,6,1,四岁夏,4岁以上,牝马,自译待核对,由ID自动生成待核对,
manhattan-stakes,曼哈顿锦标,曼哈顿锦标,Manhattan Stakes,G1,g1,美国,草地,其他地方,1900,6,1,四岁夏,4岁以上,,现有中文,由ID自动生成待核对,
metropolitan-handicap,大都会让赛,大都会让赛,Metropolitan Handicap,G1,g1,美国,泥地,其他地方,1600,6,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
coaching-club-american-oaks,Coaching Club美国橡树大赛,美国教练俱乐部橡树赛,Coaching Club American Oaks,G1,g1,美国,泥地,其他地方,1800,7,2,三岁夏,3岁,牝马,自译待核对,由ID自动生成待核对,
diana-stakes,戴安娜锦标,戴安娜锦标,Diana Stakes,G1,g1,美国,草地,其他地方,1800,7,2,四岁夏,4岁以上,牝马,现有中文,由ID自动生成待核对,
haskell-stakes,哈斯凯尔锦标,哈斯凯尔锦标,Haskell Stakes,G1,g1,美国,泥地,其他地方,1800,7,2,三岁夏,3岁,,现有中文,由ID自动生成待核对,
arlington-million,阿灵顿百万大赛,阿灵顿百万大赛,Arlington Million,G1,g1,美国,草地,其他地方,2000,8,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
forego-stakes,福尔戈锦标,福尔戈锦标,Forego Stakes,G1,g1,美国,泥地,其他地方,1400,8,2,四岁夏,4岁以上,,现有中文,由ID自动生成待核对,
h-allen-jerkens-memorial-stakes,H. Allen Jerkens纪念锦标,H. 艾伦·杰肯斯纪念锦标,H. Allen Jerkens Memorial Stakes,G1,g1,美国,泥地,其他地方,1400,8,2,三岁夏,3岁,,自译待核对,自译/规范名待核对,
travers-stakes,卓华斯锦标,卓华斯锦标,Travers Stakes,G1,g1,美国,泥地,其他地方,2000,8,2,三岁夏,3岁,,现有中文,由ID自动生成待核对,
keeneland-turf-mile,基兰草地一哩,基兰草地一哩,Keeneland Turf Mile,G1,g1,美国,草地,其他地方,1600,10,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
breeders-cup-classic,育马者杯经典赛,育马者杯经典赛,Breeders Cup Classic,G1,g1,美国,泥地,其他地方,2000,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
breeders-cup-dirt-mile,育马者杯泥地一哩,育马者杯泥地一哩,Breeders Cup Dirt Mile,G1,g1,美国,泥地,其他地方,1600,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
breeders-cup-distaff,育马者杯雌马大赛,育马者杯雌马大赛,Breeders Cup Distaff,G1,g1,美国,泥地,其他地方,1800,11,1,三岁秋,3岁以上,牝马,现有中文,由ID自动生成待核对,
breeders-cup-filly-mare-sprint,育马者杯雌马短途大赛,育马者杯雌马短途大赛,Breeders Cup Filly Mare Sprint,G1,g1,美国,泥地,其他地方,1400,11,1,三岁秋,3岁以上,牝马,现有中文,由ID自动生成待核对,
breeders-cup-filly-mare-turf,育马者杯雌马草地大赛,育马者杯雌马草地大赛,Breeders Cup Filly Mare Turf,G1,g1,美国,草地,其他地方,2000,11,1,三岁秋,3岁以上,牝马,现有中文,由ID自动生成待核对,
breeders-cup-juvenile,育马者杯两岁大赛,育马者杯两岁大赛,Breeders Cup Juvenile,G1,g1,美国,泥地,其他地方,1700,11,1,二岁秋,2岁,,现有中文,由ID自动生成待核对,
breeders-cup-juvenile-fillies,育马者杯两岁雌马大赛,育马者杯两岁雌马大赛,Breeders Cup Juvenile Fillies,G1,g1,美国,泥地,其他地方,1700,11,1,二岁秋,2岁,牝马,现有中文,由ID自动生成待核对,
breeders-cup-juvenile-fillies-turf,育马者杯两岁雌马草地大赛,育马者杯两岁雌马草地大赛,Breeders Cup Juvenile Fillies Turf,G1,g1,美国,草地,其他地方,1600,11,1,二岁秋,2岁,牝马,现有中文,由ID自动生成待核对,
breeders-cup-juvenile-turf,育马者杯两岁草地大赛,育马者杯两岁草地大赛,Breeders Cup Juvenile Turf,G1,g1,美国,草地,其他地方,1600,11,1,二岁秋,2岁,,现有中文,由ID自动生成待核对,
breeders-cup-juvenile-turf-sprint,育马者杯两岁草地短途,育马者杯两岁草地短途,Breeders Cup Juvenile Turf Sprint,G1,g1,美国,草地,其他地方,1000,11,1,二岁秋,2岁,,现有中文,由ID自动生成待核对,
breeders-cup-mile,育马者杯一哩大赛,育马者杯一哩大赛,Breeders Cup Mile,G1,g1,美国,草地,其他地方,1600,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
breeders-cup-sprint,育马者杯短途大赛,育马者杯短途大赛,Breeders Cup Sprint,G1,g1,美国,泥地,其他地方,1200,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
breeders-cup-turf,育马者杯草地大赛,育马者杯草地大赛,Breeders Cup Turf,G1,g1,美国,草地,其他地方,2400,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
breeders-cup-turf-sprint,育马者杯草地短途,育马者杯草地短途,Breeders Cup Turf Sprint,G1,g1,美国,草地,其他地方,1000,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
prix-ganay,根利锦标,根利锦标,Prix Ganay,G1,g1,欧洲,草地,其他地方,2100,4,2,四岁春,4岁以上,,现有中文,由ID自动生成待核对,
one-thousand-guineas,一千坚尼,一千坚尼,1000 Guineas,G1,g1,欧洲,草地,其他地方,1600,5,1,三岁春,3岁,牝马,现有中文,自译/规范名待核对,
poule-dessai-des-poulains,法国二千坚尼,法国二千坚尼,Poule d'Essai des Poulains,G1,g1,欧洲,草地,其他地方,1600,5,1,三岁春,3岁,,现有中文,自译/规范名待核对,
poule-dessai-des-pouliches,法国一千坚尼,法国一千坚尼,Poule d'Essai des Pouliches,G1,g1,欧洲,草地,其他地方,1600,5,1,三岁春,3岁,牝马,现有中文,自译/规范名待核对,
two-thousand-guineas,二千坚尼,二千坚尼,2000 Guineas,G1,g1,欧洲,草地,其他地方,1600,5,1,三岁春,3岁,,现有中文,自译/规范名待核对,
irish-two-thousand-guineas,爱尔兰二千坚尼,爱尔兰二千坚尼,Irish Two Thousand Guineas,G1,g1,欧洲,草地,其他地方,1600,5,2,三岁春,3岁,,现有中文,由ID自动生成待核对,
lockinge-stakes,洛金锦标,洛金锦标,Lockinge Stakes,G1,g1,欧洲,草地,其他地方,1600,5,2,四岁春,4岁以上,,现有中文,由ID自动生成待核对,
prix-dispahan,伊斯巴翰锦标,伊斯巴翰锦标,Prix Dispahan,G1,g1,欧洲,草地,其他地方,1850,5,2,四岁春,4岁以上,,现有中文,由ID自动生成待核对,
prix-vicomtesse-vigier,维吉尔子爵夫人锦标,维吉尔子爵夫人锦标,Prix Vicomtesse Vigier,G1,g1,欧洲,草地,其他地方,3100,5,2,四岁春,4岁以上,,现有中文,由ID自动生成待核对,
tattersalls-gold-cup,塔特索尔斯金杯,塔特索尔斯金杯,Tattersalls Gold Cup,G1,g1,欧洲,草地,其他地方,2100,5,2,四岁春,4岁以上,,现有中文,由ID自动生成待核对,
coronation-cup,加冕杯,加冕杯,Coronation Cup,G1,g1,欧洲,草地,其他地方,2400,6,1,四岁夏,4岁以上,,现有中文,由ID自动生成待核对,
epsom-derby,叶森德比,叶森德比,Epsom Derby,G1,g1,欧洲,草地,其他地方,2400,6,1,三岁夏,3岁,,现有中文,自译/规范名待核对,
epsom-oaks,叶森橡树,叶森橡树,Epsom Oaks,G1,g1,欧洲,草地,其他地方,2400,6,1,三岁夏,3岁,牝马,现有中文,自译/规范名待核对,
prix-du-jockey-club,法国德比,法国德比,Prix du Jockey Club,G1,g1,欧洲,草地,其他地方,2100,6,1,三岁夏,3岁,,现有中文,由ID自动生成待核对,
ascot-gold-cup,雅士谷金杯,雅士谷金杯,Ascot Gold Cup,G1,g1,欧洲,草地,其他地方,4000,6,2,四岁夏,4岁以上,,现有中文,由ID自动生成待核对,
commonwealth-cup,英联邦杯,英联邦杯,Commonwealth Cup,G1,g1,欧洲,草地,其他地方,1200,6,2,三岁夏,3岁,,现有中文,由ID自动生成待核对,
coronation-stakes,加冕锦标,加冕锦标,Coronation Stakes,G1,g1,欧洲,草地,其他地方,1600,6,2,三岁夏,3岁,牝马,现有中文,由ID自动生成待核对,
irish-derby,爱尔兰德比,爱尔兰德比,Irish Derby,G1,g1,欧洲,草地,其他地方,2400,6,2,三岁夏,3岁,,现有中文,由ID自动生成待核对,
king-charles-iii-stakes,查理三世锦标,查理三世锦标,King Charles Iii Stakes,G1,g1,欧洲,草地,其他地方,1000,6,2,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
pretty-polly-stakes,美丽波莉锦标,美丽波莉锦标,Pretty Polly Stakes,G1,g1,欧洲,草地,其他地方,2000,6,2,三岁夏,3岁以上,牝马,现有中文,由ID自动生成待核对,
prince-of-wales-stakes,威尔士亲王锦标,威尔士亲王锦标,Prince of Wales Stakes,G1,g1,欧洲,草地,其他地方,2000,6,2,四岁夏,4岁以上,,现有中文,由ID自动生成待核对,
prix-de-diane,法国橡树,法国橡树,Prix de Diane,G1,g1,欧洲,草地,其他地方,2100,6,2,三岁夏,3岁,牝马,现有中文,由ID自动生成待核对,
queen-anne-stakes,女王安妮锦标,女王安妮锦标,Queen Anne Stakes,G1,g1,欧洲,草地,其他地方,1600,6,2,四岁夏,4岁以上,,现有中文,由ID自动生成待核对,
queen-elizabeth-ii-jubilee-stakes,女王伊丽莎白二世禧年锦标,女王伊丽莎白二世禧年锦标,Queen Elizabeth II Jubilee Stakes,G1,g1,欧洲,草地,其他地方,1200,6,2,四岁夏,4岁以上,,现有中文,自译/规范名待核对,
st-jamess-palace-stakes,圣詹姆斯皇宫锦标,圣詹姆斯皇宫锦标,St James's Palace Stakes,G1,g1,欧洲,草地,其他地方,1600,6,2,三岁夏,3岁,,现有中文,自译/规范名待核对,
deutsches-derby,德国德比,德国德比,Deutsches Derby,G1,g1,欧洲,草地,其他地方,2400,7,1,三岁夏,3岁,,现有中文,由ID自动生成待核对,
eclipse-stakes,日蚀大赛,日蚀大赛,Eclipse Stakes,G1,g1,欧洲,草地,其他地方,2000,7,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
falmouth-stakes,法尔茅斯锦标,法尔茅斯锦标,Falmouth Stakes,G1,g1,欧洲,草地,其他地方,1600,7,1,三岁夏,3岁以上,牝马,现有中文,由ID自动生成待核对,
grand-prix-de-paris,巴黎大赛,巴黎大赛,Grand Prix de Paris,G1,g1,欧洲,草地,其他地方,2400,7,1,三岁夏,3岁,,现有中文,由ID自动生成待核对,
grand-prix-de-saint-cloud,圣格卢大赛,圣格卢大赛,Grand Prix de Saint Cloud,G1,g1,欧洲,草地,其他地方,2400,7,1,四岁夏,4岁以上,,现有中文,由ID自动生成待核对,
july-cup,七月杯,七月杯,July Cup,G1,g1,欧洲,草地,其他地方,1200,7,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
goodwood-cup,古活杯,古活杯,Goodwood Cup,G1,g1,欧洲,草地,其他地方,3219,7,2,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
irish-oaks,爱尔兰橡树大赛,爱尔兰橡树大赛,Irish Oaks,G1,g1,欧洲,草地,其他地方,2400,7,2,三岁夏,3岁,牝马,现有中文,由ID自动生成待核对,
king-george-vi-and-queen-elizabeth-stakes,英皇锦标,英皇锦标,King George VI and Queen Elizabeth Stakes,G1,g1,欧洲,草地,其他地方,2400,7,2,三岁夏,3岁以上,,现有中文,自译/规范名待核对,
nassau-stakes,拿骚锦标,拿骚锦标,Nassau Stakes,G1,g1,欧洲,草地,其他地方,1991,7,2,三岁夏,3岁以上,牝马,现有中文,由ID自动生成待核对,
sussex-stakes,萨塞克斯锦标,萨塞克斯锦标,Sussex Stakes,G1,g1,欧洲,草地,其他地方,1600,7,2,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
grosser-preis-von-berlin,柏林大赛,柏林大赛,Grosser Preis Von Berlin,G1,g1,欧洲,草地,其他地方,2400,8,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
phoenix-stakes,凤凰锦标,凤凰锦标,Phoenix Stakes,G1,g1,欧洲,草地,其他地方,1200,8,1,二岁夏,2岁,,现有中文,由ID自动生成待核对,
prix-jacques-le-marois,杰克莫华大赛,杰克莫华大赛,Prix Jacques Le Marois,G1,g1,欧洲,草地,其他地方,1600,8,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
prix-maurice-de-gheest,莫里斯德盖斯特大赛,莫里斯德盖斯特大赛,Prix Maurice de Gheest,G1,g1,欧洲,草地,其他地方,1300,8,1,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
prix-rothschild,罗斯柴尔德大奖赛,罗斯柴尔德大奖赛,Prix Rothschild,G1,g1,欧洲,草地,其他地方,1600,8,1,三岁夏,3岁以上,牝马,现有中文,由ID自动生成待核对,
international-stakes,国际锦标,国际锦标,International Stakes,G1,g1,欧洲,草地,其他地方,2050,8,2,三岁夏,3岁以上,,现有中文,由ID自动生成待核对,
nunthorpe-stakes,南索普锦标,南索普锦标,Nunthorpe Stakes,G1,g1,欧洲,草地,其他地方,1000,8,2,三岁夏,2岁以上,,现有中文,由ID自动生成待核对,
prix-morny,莫尼大赛,莫尼大赛,Prix Morny,G1,g1,欧洲,草地,其他地方,1200,8,2,二岁夏,2岁,,现有中文,由ID自动生成待核对,
yorkshire-oaks,约克郡橡树大赛,约克郡橡树大赛,Yorkshire Oaks,G1,g1,欧洲,草地,其他地方,2400,8,2,三岁夏,3岁以上,牝马,现有中文,由ID自动生成待核对,
flying-five-stakes,飞行五锦标,飞行五锦标,Flying Five Stakes,G1,g1,欧洲,草地,其他地方,1000,9,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
grosser-preis-von-baden,巴登大赛,巴登大赛,Grosser Preis Von Baden,G1,g1,欧洲,草地,其他地方,2400,9,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
haydock-sprint-cup,海多克短途杯,海多克短途杯,Haydock Sprint Cup,G1,g1,欧洲,草地,其他地方,1200,9,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
irish-champion-stakes,爱尔兰冠军锦标,爱尔兰冠军锦标,Irish Champion Stakes,G1,g1,欧洲,草地,其他地方,2000,9,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
irish-st-leger,爱尔兰圣烈治锦标,爱尔兰圣烈治锦标,Irish St Leger,G1,g1,欧洲,草地,其他地方,2800,9,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
prix-du-moulin,穆兰大赛,穆兰大赛,Prix du Moulin,G1,g1,欧洲,草地,其他地方,1600,9,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
prix-vermeille,红宝锦标,红宝锦标,Prix Vermeille,G1,g1,欧洲,草地,其他地方,2400,9,1,三岁秋,3岁以上,牝马,现有中文,由ID自动生成待核对,
st-leger-stakes,圣烈治锦标,圣烈治锦标,St Leger Stakes,G1,g1,欧洲,草地,其他地方,2900,9,1,三岁秋,3岁,,现有中文,由ID自动生成待核对,
middle-park-stakes,米德尔帕克锦标,米德尔帕克锦标,Middle Park Stakes,G1,g1,欧洲,草地,其他地方,1200,9,2,二岁秋,2岁,,现有中文,由ID自动生成待核对,
preis-von-europa,欧洲大赛,欧洲大赛,Preis Von Europa,G1,g1,欧洲,草地,其他地方,2400,9,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
dewhurst-stakes,杜赫斯特锦标,杜赫斯特锦标,Dewhurst Stakes,G1,g1,欧洲,草地,其他地方,1400,10,1,二岁秋,2岁,,现有中文,由ID自动生成待核对,
prix-de-la-foret,森林大赛,森林大赛,Prix de La Foret,G1,g1,欧洲,草地,其他地方,1400,10,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
prix-de-labbaye,阿贝耶大奖赛,阿贝耶大奖赛,Prix de l'Abbaye,G1,g1,欧洲,草地,其他地方,1000,10,1,三岁秋,2岁以上,,现有中文,自译/规范名待核对,
prix-de-larc,凯旋门赏,凯旋门赏,Prix de l'Arc de Triomphe,G1,g1,欧洲,草地,其他地方,2400,10,1,三岁秋,3岁以上,,现有中文,自译/规范名待核对,
prix-de-lopera,歌剧大奖赛,歌剧大奖赛,Prix de l'Opera,G1,g1,欧洲,草地,其他地方,2000,10,1,三岁秋,3岁以上,牝马,现有中文,自译/规范名待核对,
prix-de-royallieu,鲁瓦耶锦标,鲁瓦耶锦标,Prix de Royallieu,G1,g1,欧洲,草地,其他地方,2800,10,1,三岁秋,3岁以上,牝马,现有中文,由ID自动生成待核对,
prix-du-cadran,卡德兰大奖赛,卡德兰大奖赛,Prix du Cadran,G1,g1,欧洲,草地,其他地方,4000,10,1,四岁秋,4岁以上,,现有中文,由ID自动生成待核对,
prix-jean-luc-lagardere,让-吕克拉加代尔大奖赛,让-吕克拉加代尔大奖赛,Prix Jean Luc Lagardere,G1,g1,欧洲,草地,其他地方,1400,10,1,二岁秋,2岁,,现有中文,由ID自动生成待核对,
prix-marcel-boussac,马塞尔布萨克大赛,马塞尔布萨克大赛,Prix Marcel Boussac,G1,g1,欧洲,草地,其他地方,1600,10,1,二岁秋,2岁,牝马,现有中文,由ID自动生成待核对,
british-champions-fillies-mares-stakes,英国冠军雌马锦标,英国冠军雌马锦标,British Champions Fillies Mares Stakes,G1,g1,欧洲,草地,其他地方,2400,10,2,三岁秋,3岁以上,牝马,现有中文,由ID自动生成待核对,
british-champions-long-distance-cup,英国冠军长途杯,英国冠军长途杯,British Champions Long Distance Cup,G1,g1,欧洲,草地,其他地方,3209,10,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
british-champions-sprint-stakes,英国冠军短途锦标,英国冠军短途锦标,British Champions Sprint Stakes,G1,g1,欧洲,草地,其他地方,1200,10,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
champion-stakes,冠军锦标,冠军锦标,Champion Stakes,G1,g1,欧洲,草地,其他地方,2004,10,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
futurity-trophy,未来锦标,未来锦标,Futurity Trophy,G1,g1,欧洲,草地,其他地方,1600,10,2,二岁秋,2岁,,现有中文,由ID自动生成待核对,
prix-royal-oak,皇家橡树大赛,皇家橡树大赛,Prix Royal Oak,G1,g1,欧洲,草地,其他地方,3100,10,2,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
queen-elizabeth-ii-stakes,伊丽莎白女王二世锦标,伊丽莎白女王二世锦标,Queen Elizabeth II Stakes,G1,g1,欧洲,草地,其他地方,1600,10,2,三岁秋,3岁以上,,现有中文,自译/规范名待核对,
grosser-preis-von-bayern,巴伐利亚大赛,巴伐利亚大赛,Grosser Preis Von Bayern,G1,g1,欧洲,草地,其他地方,2400,11,1,三岁秋,3岁以上,,现有中文,由ID自动生成待核对,
one-win-dirt-3-1-early-kokura-1200-7,小仓泥地1200m一胜战,小仓泥地1200m一胜战,Kokura Dirt 1200m One-Win Class,1胜,one-win,日本,泥地,小仓,1200,1,1,三岁冬,3岁,,现有中文,按条件赛规则生成,
one-win-dirt-3-1-early-nakayama-1800-6,中山泥地1800m一胜战,中山泥地1800m一胜战,Nakayama Dirt 1800m One-Win Class,1胜,one-win,日本,泥地,中山,1800,1,1,三岁冬,3岁,,现有中文,按条件赛规则生成,
one-win-dirt-3-1-early-tokyo-1600-5,东京泥地1600m一胜战,东京泥地1600m一胜战,Tokyo Dirt 1600m One-Win Class,1胜,one-win,日本,泥地,东京,1600,1,1,三岁冬,3岁,,现有中文,按条件赛规则生成,
one-win-dirt-4-1-early-kokura-1900-7,小仓泥地1900m一胜战,小仓泥地1900m一胜战,Kokura Dirt 1900m One-Win Class,1胜,one-win,日本,泥地,小仓,1900,1,1,四岁冬,4岁,,现有中文,按条件赛规则生成,
one-win-dirt-4-1-early-nakayama-1700-6,中山泥地1700m一胜战,中山泥地1700m一胜战,Nakayama Dirt 1700m One-Win Class,1胜,one-win,日本,泥地,中山,1700,1,1,四岁冬,4岁,,现有中文,按条件赛规则生成,
one-win-dirt-4-1-early-tokyo-1400-5,东京泥地1400m一胜战,东京泥地1400m一胜战,Tokyo Dirt 1400m One-Win Class,1胜,one-win,日本,泥地,东京,1400,1,1,四岁冬,4岁,,现有中文,按条件赛规则生成,
one-win-turf-3-1-early-fukushima-1200-4,福岛草地1200m一胜战,福岛草地1200m一胜战,Fukushima Turf 1200m One-Win Class,1胜,one-win,日本,草地,福岛,1200,1,1,三岁冬,3岁,,现有中文,按条件赛规则生成,
one-win-turf-3-1-early-kokura-2200-3,小仓草地2200m一胜战,小仓草地2200m一胜战,Kokura Turf 2200m One-Win Class,1胜,one-win,日本,草地,小仓,2200,1,1,三岁冬,3岁,,现有中文,按条件赛规则生成,
one-win-turf-3-1-early-nakayama-1800-2,中山草地1800m一胜战,中山草地1800m一胜战,Nakayama Turf 1800m One-Win Class,1胜,one-win,日本,草地,中山,1800,1,1,三岁冬,3岁,,现有中文,按条件赛规则生成,
one-win-turf-3-1-early-tokyo-1400-1,东京草地1400m一胜战,东京草地1400m一胜战,Tokyo Turf 1400m One-Win Class,1胜,one-win,日本,草地,东京,1400,1,1,三岁冬,3岁,,现有中文,按条件赛规则生成,
one-win-turf-4-1-early-fukushima-2400-4,福岛草地2400m一胜战,福岛草地2400m一胜战,Fukushima Turf 2400m One-Win Class,1胜,one-win,日本,草地,福岛,2400,1,1,四岁冬,4岁,,现有中文,按条件赛规则生成,
one-win-turf-4-1-early-kokura-2000-3,小仓草地2000m一胜战,小仓草地2000m一胜战,Kokura Turf 2000m One-Win Class,1胜,one-win,日本,草地,小仓,2000,1,1,四岁冬,4岁,,现有中文,按条件赛规则生成,
one-win-turf-4-1-early-nakayama-1600-2,中山草地1600m一胜战,中山草地1600m一胜战,Nakayama Turf 1600m One-Win Class,1胜,one-win,日本,草地,中山,1600,1,1,四岁冬,4岁,,现有中文,按条件赛规则生成,
